date,symbol,raw_date_type
15/01/2009,SPY,US_DATE
16/01/2009,SPY,US_DATE
20/01/2009,SPY,US_DATE
21/01/2009,SPY,US_DATE
22/01/2009,SPY,US_DATE
23/01/2009,SPY,US_DATE
26/01/2009,SPY,US_DATE
27/01/2009,SPY,US_DATE
28/01/2009,SPY,US_DATE
29/01/2009,SPY,US_DATE
30/01/2009,SPY,US_DATE
13/02/2009,SPY,US_DATE
17/02/2009,SPY,US_DATE
18/02/2009,SPY,US_DATE
19/02/2009,SPY,US_DATE
20/02/2009,SPY,US_DATE
23/02/2009,SPY,US_DATE
24/02/2009,SPY,US_DATE
25/02/2009,SPY,US_DATE
