file,relative_path,column_position,column,dtype,non_null_count,missing_count,missing_rate,unique_count,sample_min,sample_max,possible_date_or_timestamp,timestamp_precision,column_class,data_layer,sample_values
taq.csv,data\raw\taq\taq.csv,88,TOfrShares_TW_m,float64,1000,0,0.0,825,1000.0,99336.070381,False,,QUOTE_DEPTH_OR_ORDER_FLOW,DERIVED_OR_AGGREGATED_FIELD,1000.0 | 1090.9090909 | 1063.2911392 | 1200.0 | 1275.862069 | 1060.6060606 | 1058.8235294
taq.csv,data\raw\taq\taq.csv,89,TBidShares_TW_m,float64,1000,0,0.0,827,1000.0,88310.85044,False,,QUOTE_DEPTH_OR_ORDER_FLOW,DERIVED_OR_AGGREGATED_FIELD,1000.0 | 1529.4117647 | 1076.9230769 | 1117.6470588
taq.csv,data\raw\taq\taq.csv,90,BOfrDollar_TW_m,float64,1000,0,0.0,999,22664.473684,3221481.5441,False,,QUOTE_DEPTH_OR_ORDER_FLOW,DERIVED_OR_AGGREGATED_FIELD,49347.826087 | 49750.0 | 49881.578947 | 50450.0 | 50250.0 | 48338.235294 | 47805.084746 | 48326.923077 | 48812.5 | 49232.758621
taq.csv,data\raw\taq\taq.csv,91,BBidDollar_TW_m,float64,1000,0,0.0,999,22394.736842,3167599.1912,False,,QUOTE_DEPTH_OR_ORDER_FLOW,DERIVED_OR_AGGREGATED_FIELD,49097.826087 | 49406.25 | 49569.078947 | 50150.0 | 49950.757576 | 48029.411765 | 47474.576271 | 48028.846154 | 48546.875 | 48926.724138
taq.csv,data\raw\taq\taq.csv,92,BOfrShares_TW_m,float64,1000,0,0.0,813,1000.0,81323.460411,False,,QUOTE_DEPTH_OR_ORDER_FLOW,DERIVED_OR_AGGREGATED_FIELD,1000.0
taq.csv,data\raw\taq\taq.csv,93,BBidShares_TW_m,float64,1000,0,0.0,813,1000.0,82441.348974,False,,QUOTE_DEPTH_OR_ORDER_FLOW,DERIVED_OR_AGGREGATED_FIELD,1000.0
taq.csv,data\raw\taq\taq.csv,94,VarianceRatio1,float64,1000,0,0.0,998,0.0,0.998449917,False,,MARKET_STATISTIC,DERIVED_OR_AGGREGATED_FIELD,0.1643831037 | 0.004878209 | 0.1590614635 | 0.1029160851 | 0.2118603849 | 0.2672723961 | 0.0638650737 | 0.1143795752 | 0.1309877317 | 0.2981454218
taq.csv,data\raw\taq\taq.csv,95,VarianceRatio2,float64,1000,0,0.0,999,0.0,0.6138040603,False,,MARKET_STATISTIC,DERIVED_OR_AGGREGATED_FIELD,0.2057281433 | 0.1133262606 | 0.0303142674 | 0.4801461632 | 0.2297725199 | 0.0864709576 | 0.2126761864 | 0.0793908101 | 0.2361796797 | 0.2576078076
taq.csv,data\raw\taq\taq.csv,96,TSignSqrtDVol1,float64,1000,0,0.0,1000,-2.7528e-05,1.67883e-05,False,,TRADE_DIRECTION,DERIVED_OR_AGGREGATED_FIELD,6.5763745e-07 | 8.182826e-07 | 3.3933118e-07 | 1.2427063e-06 | 8.3516737e-07 | 9.9339103e-07 | 7.7104601e-07 | 2.2750376e-08 | 2.5643247e-07 | 5.4503634e-07
taq.csv,data\raw\taq\taq.csv,97,TSignSqrtDVol2,float64,1000,0,0.0,1000,-3.5251e-05,1.68289e-05,False,,TRADE_DIRECTION,DERIVED_OR_AGGREGATED_FIELD,5.9421655e-07 | 7.5854666e-07 | 3.3206207e-07 | 1.232305e-06 | 7.3228144e-07 | 9.8334371e-07 | 7.7092404e-07 | 2.2454597e-08 | 2.5916249e-07 | 5.3496869e-07
taq.csv,data\raw\taq\taq.csv,98,NObsUsed1,int64,1000,0,0.0,14,34,78,False,,OBSERVATION_COUNT,DERIVED_OR_AGGREGATED_FIELD,78 | 76 | 77 | 75
taq.csv,data\raw\taq\taq.csv,99,NObsUsed2,int64,1000,0,0.0,21,36,87,False,,OBSERVATION_COUNT,DERIVED_OR_AGGREGATED_FIELD,82 | 84 | 79 | 81 | 83 | 86 | 78 | 80 | 87 | 85
taq.csv,data\raw\taq\taq.csv,100,NumTimeUnitsWithTrade1,int64,1000,0,0.0,3,7,13,True,nanosecond_or_finer,OBSERVATION_COUNT,DERIVED_OR_AGGREGATED_FIELD,13
taq.csv,data\raw\taq\taq.csv,101,NumTimeUnitsWithTrade2,int64,1000,0,0.0,14,35,78,True,nanosecond_or_finer,OBSERVATION_COUNT,DERIVED_OR_AGGREGATED_FIELD,78 | 76 | 77 | 75
taq.csv,data\raw\taq\taq.csv,102,HIndex1,float64,1000,0,0.0,1000,0.0813063249,0.5109877542,False,,MARKET_STATISTIC,DERIVED_OR_AGGREGATED_FIELD,0.0957944106 | 0.1173508842 | 0.1128037054 | 0.1251451086 | 0.1065996947 | 0.1114496584 | 0.1206878604 | 0.1623296621 | 0.1014087014 | 0.0969570451
