diagnostic,test_type,observations,violations,description
ESpreadDollar_Avg1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122382,0,Negative values are reported descriptively; they are not treated as invalid observations.
ESpreadPct_Avg1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122382,0,Negative values are reported descriptively; they are not treated as invalid observations.
RSpreadDollar_Avg1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122378,27018,Negative values are reported descriptively; they are not treated as invalid observations.
RSpreadPct_Avg1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122378,27038,Negative values are reported descriptively; they are not treated as invalid observations.
PriceImpactDollar_Avg1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122378,2150,Negative values are reported descriptively; they are not treated as invalid observations.
PriceImpactPct_Avg1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122378,2179,Negative values are reported descriptively; they are not treated as invalid observations.
ESpreadDollar_VW1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122382,0,Negative values are reported descriptively; they are not treated as invalid observations.
ESpreadDollar_SW1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122382,0,Negative values are reported descriptively; they are not treated as invalid observations.
ESpreadPct_VW1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122382,0,Negative values are reported descriptively; they are not treated as invalid observations.
ESpreadPct_SW1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122382,0,Negative values are reported descriptively; they are not treated as invalid observations.
RSpreadDollar_SW1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122378,14839,Negative values are reported descriptively; they are not treated as invalid observations.
RSpreadDollar_VW1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122378,14836,Negative values are reported descriptively; they are not treated as invalid observations.
RSpreadPct_SW1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122378,14873,Negative values are reported descriptively; they are not treated as invalid observations.
RSpreadPct_VW1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122378,14844,Negative values are reported descriptively; they are not treated as invalid observations.
PriceImpactDollar_VW1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122378,5099,Negative values are reported descriptively; they are not treated as invalid observations.
PriceImpactDollar_SW1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122378,5105,Negative values are reported descriptively; they are not treated as invalid observations.
PriceImpactPct_VW1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122378,5100,Negative values are reported descriptively; they are not treated as invalid observations.
PriceImpactPct_SW1_NEGATIVE_OBSERVATIONS,DESCRIPTIVE,122378,5106,Negative values are reported descriptively; they are not treated as invalid observations.
