metric,value
raw_rows,122441
corrected_rows,122441
raw_columns,102
corrected_columns,127
date_format,DD/MM/YYYY
date_parse_failures,0
unique_dates,5036
unique_symbols,29
first_date,1993-01-04
last_date,2012-12-31
date_symbol_duplicates,0
bid_greater_than_ask,23564
midpoint_violations,0
observations_removed,0
values_modified,0
imputation_performed,False
critical_failure_count,0
review_item_count,1
