record_type,chunk_number,column,rows_input,rows_output,rows_removed,original_missing_count,cleaned_missing_count,date_parse_failures,time_parse_failures,numeric_conversion_failures,transformation
FIELD_TOTAL,,SumValue_b,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,SumValue_m,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,NumISOTrades_m,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,SumISOVolume_m,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,SumISOValue_m,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,NumOddLotTrades_m,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,SumOddLotVolume_m,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,SumOddLotValue_m,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,NumMixedLotTrades_m,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,SumMixedLotVolume_m,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,SumMixedLotValue_m,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,BuyNumTrades_LR1,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
