quote_set,violation_count,min_bid_minus_ask,max_bid_minus_ask,mean_bid_minus_ask,median_bid_minus_ask,p01_abs_inversion,p05_abs_inversion,p25_abs_inversion,p50_abs_inversion,p75_abs_inversion,p95_abs_inversion,p99_abs_inversion,max_abs_inversion
1pm,2198,0.009999999999990905,45.27999999999997,0.3049721337579617,0.125,0.009999999999990905,0.00999999999999801,0.03999999999999915,0.125,0.3125,1.0,2.2518750000000125,45.27999999999997
c1,5049,0.009999999999990905,45.30000000000001,0.2329821499306794,0.05999999999999872,0.009999999999990905,0.00999999999999801,0.01999999999999602,0.05999999999999872,0.18999999999999773,0.9389999999999973,2.125,45.30000000000001
4pm,5350,0.009999999999990905,45.20999999999998,0.22098154205607481,0.04999999999999716,0.009999999999990905,0.00999999999999801,0.01999999999999602,0.04999999999999716,0.1875,0.9110000000000039,2.125,45.20999999999998
last,9119,0.009999999999990905,60.125,0.22614849490075667,0.07000000000000028,0.009999999999992184,0.00999999999999801,0.030000000000001137,0.07000000000000028,0.1875,0.7610000000000018,2.0,60.125
1pm,15,0.009999999999990905,0.030000000000001137,0.012666666666665804,0.010000000000005116,0.009999999999990905,0.009999999999990905,0.00999999999999801,0.010000000000005116,0.010000000000005116,0.022999999999997543,0.028600000000000417,0.030000000000001137
c1,51,0.009999999999990905,1.25,0.09568627450980181,0.01999999999999602,0.009999999999990905,0.009999999999990905,0.00999999999999801,0.01999999999999602,0.05000000000000071,0.49499999999999744,1.2349999999999852,1.25
4pm,1093,0.009999999999990905,0.6299999999999955,0.018947849954254158,0.010000000000001563,0.009999999999990905,0.009999999999990905,0.00999999999999801,0.010000000000001563,0.01999999999999602,0.04999999999999716,0.11999999999999801,0.6299999999999955
last,689,0.009999999999990905,6.710000000000008,0.12285921625544288,0.03999999999999915,0.00999999999999801,0.00999999999999801,0.019999999999999574,0.03999999999999915,0.10000000000000142,0.35999999999999943,2.0023999999999997,6.710000000000008
