quote_set,rows,negative_spread_count,zero_spread_count,positive_spread_count,min_spread,max_spread,negative_spread_rate,zero_spread_rate,positive_spread_rate
1pm,122438,2213,2830,117395,-45.27999999999997,29.875,0.018074454009376174,0.02311373919861481,0.9588118067920091
4pm,122440,6443,6960,109037,-45.20999999999998,29.75,0.05262169225743221,0.05684416857236197,0.8905341391702059
c1,122440,5100,4550,112790,-45.30000000000001,29.75,0.0416530545573342,0.03716105847762169,0.9211858869650441
last,122441,9808,5715,106918,-60.125,76.08000000000004,0.0801038867699545,0.04667554168946676,0.8732205715405787
