PERMNO,PERMCO,Ticker,PrimaryExch,SecurityType,SecuritySubType,ShareType,SICCD,NAICS,in_names_universe,in_daily_file,has_daily_history,daily_first_date,daily_last_date,daily_observations,daily_trading_days,reconciliation_status,CUSIP,issuernm,shareclass,usincflg,issuertype,tradingstatusflg,tradingsymbol,SecurityBegDt,SecurityEndDt
76076,10486.0,CSCO,Q,EQTY,COM,NS,3674.0,0.0,True,True,True,1993-01-04,2018-12-31,6547.0,6547.0,NAMES_AND_DAILY,17275R10,CISCO SYSTEMS INC,,Y,CORP,A,CSCO,1990-02-16,2025-12-31
76947,10961.0,META,Q,EQTY,COM,NS,3690.0,0.0,True,True,True,1993-01-04,2002-04-25,2347.0,2347.0,NAMES_AND_DAILY,59139810,METATEC CORP,,Y,ACOR,A,META,1991-06-05,2002-04-25
82621,14097.0,USOS,Q,EQTY,COM,NS,6710.0,0.0,True,True,True,1998-04-23,2005-12-16,1927.0,1927.0,NAMES_AND_DAILY,91232910,U S OPPORTUNITY SEARCH INC,,Y,CORP,A,USOS,1995-11-07,2025-12-31
84398,46699.0,SPY,A,FUND,ETF,NS,6726.0,0.0,True,True,True,1993-01-29,2018-12-31,6528.0,6528.0,NAMES_AND_DAILY,78462F10,SPDR TRUST,,Y,ACOR,A,,1993-01-29,2025-12-31
84788,15473.0,AMZN,Q,EQTY,COM,NS,7370.0,0.0,True,True,True,1997-05-15,2018-12-31,5443.0,5443.0,NAMES_AND_DAILY,02313510,AMAZON COM INC,,Y,CORP,A,AMZN,1997-05-15,2025-12-31
86580,16382.0,NVDA,Q,EQTY,COM,NS,3670.0,0.0,True,True,True,1999-01-22,2018-12-31,5018.0,5018.0,NAMES_AND_DAILY,67066G10,NVIDIA CORP,,Y,CORP,A,NVDA,1999-01-22,2025-12-31
86755,35013.0,QQQ,A,FUND,ETF,NS,6726.0,0.0,True,True,True,1999-03-10,2018-12-31,3398.0,3398.0,NAMES_AND_DAILY,63110010,NASDAQ 100 TRUST SERIES I,,Y,ACOR,A,,1999-03-10,2025-12-31
86868,35048.0,GS,N,EQTY,COM,NS,6211.0,0.0,True,True,True,1999-05-04,2018-12-31,4948.0,4948.0,NAMES_AND_DAILY,38141G10,GOLDMAN SACHS GROUP INC,,Y,CORP,A,,1999-05-04,2025-12-31
88222,37493.0,IWM,A,FUND,ETF,NS,6726.0,0.0,True,True,True,2000-05-26,2018-12-31,4678.0,4678.0,NAMES_AND_DAILY,46428765,ISHARES TRUST,,Y,ACOR,A,,2000-05-26,2025-12-31
88614,39149.0,V,N,EQTY,COM,AD,4813.0,0.0,True,True,True,2000-09-12,2006-08-03,1481.0,1481.0,NAMES_AND_DAILY,92851S10,VIVENDI,,N,CORP,A,,2000-09-12,2006-08-03
89393,43145.0,NFLX,Q,EQTY,COM,NS,7841.0,0.0,True,True,True,2002-05-23,2018-12-31,4181.0,4181.0,NAMES_AND_DAILY,64110L10,NETFLIX INC,,Y,CORP,A,NFLX,2002-05-23,2025-12-31
90319,45483.0,GOOG,Q,EQTY,COM,NS,7375.0,514191.0,True,True,True,2004-08-19,2018-12-31,3617.0,3617.0,NAMES_AND_DAILY,38259P50,GOOGLE INC,A,Y,CORP,A,GOOG,2004-08-19,2025-12-31
91233,50700.0,MA,N,EQTY,COM,NS,6153.0,522210.0,True,True,True,2006-05-25,2018-12-31,3172.0,3172.0,NAMES_AND_DAILY,57636Q10,MASTERCARD INC,A,Y,CORP,A,MA,2006-05-25,2025-12-31
92611,52983.0,V,N,EQTY,COM,NS,7383.0,0.0,True,True,True,2008-03-19,2018-12-31,2716.0,2716.0,NAMES_AND_DAILY,92826C83,VISA INC,A,Y,CORP,A,V,2008-03-19,2025-12-31
92655,7267.0,UNH,N,EQTY,COM,NS,6324.0,0.0,True,True,True,1993-01-04,2018-12-31,6547.0,6547.0,NAMES_AND_DAILY,91058110,UNITED HEALTHCARE CORP,,Y,CORP,A,,1984-10-17,2025-12-31
