permno,permco,ticker,cusip,primaryexch,siccd,daily_first_date,daily_last_date,daily_observations,daily_trading_days,history_calendar_days,history_years_approx,price_missing,price_missing_pct,volume_missing,volume_missing_pct,zero_volume,bid_missing,bid_missing_pct,ask_missing,ask_missing_pct,both_bid_ask,both_bid_ask_pct,crossed_bid_ask,crossed_bid_ask_pct,return_missing,return_missing_pct,trade_count_missing,trade_count_missing_pct,full_price_coverage,full_volume_coverage,full_quote_coverage,has_crossed_quotes,full_return_coverage,full_trade_count_coverage
69032,21224.0,MWD,61744644,N,6211.0,1993-01-04,2018-12-31,4377,4377,9493,25.99041752224504,0,0.0,0,0.0,0,1,0.02284669865204478,1,0.02284669865204478,4376,99.97715330134795,24,0.5483207676490748,0,0.0,4377,100.0,True,True,False,True,True,False
70519,20483.0,TRV,89419010,N,6211.0,1998-12-04,2018-12-31,5050,5050,7333,20.076659822039698,0,0.0,0,0.0,0,5,0.09900990099009901,5,0.09900990099009901,5045,99.9009900990099,22,0.4356435643564357,0,0.0,5050,100.0,True,True,False,True,True,False
76076,10486.0,CSCO,17275R10,Q,3674.0,1993-01-04,2018-12-31,6547,6547,9493,25.99041752224504,0,0.0,0,0.0,0,0,0.0,0,0.0,6547,100.0,336,5.132121582404155,0,0.0,2,0.03054834275240568,True,True,True,True,True,False
76947,10961.0,META,59139810,Q,3690.0,1993-01-04,2002-04-25,2347,2347,3399,9.305954825462011,0,0.0,0,0.0,27,0,0.0,0,0.0,2347,100.0,0,0.0,0,0.0,1,0.04260758414997869,True,True,True,False,True,False
82621,14097.0,USOS,91232910,Q,6710.0,1998-04-23,2005-12-16,1927,1927,2795,7.652292950034223,1,0.05189413596263622,1,0.05189413596263622,23,317,16.450441100155683,317,16.450441100155683,1610,83.54955889984433,1,0.05189413596263622,1,0.05189413596263622,1927,100.0,False,False,False,True,False,False
84788,15473.0,AMZN,02313510,Q,7370.0,1997-05-15,2018-12-31,5443,5443,7901,21.631759069130734,0,0.0,0,0.0,0,0,0.0,0,0.0,5443,100.0,363,6.669116296160206,1,0.01837222120154327,0,0.0,True,True,True,True,False,True
86580,16382.0,NVDA,67066G10,Q,3670.0,1999-01-22,2018-12-31,5018,5018,7284,19.942505133470227,0,0.0,0,0.0,0,0,0.0,0,0.0,5018,100.0,231,4.603427660422479,1,0.01992825827022718,0,0.0,True,True,True,True,False,True
86868,35048.0,GS,38141G10,N,6211.0,1999-05-04,2018-12-31,4948,4948,7182,19.66324435318275,0,0.0,0,0.0,0,9,0.1818916734033953,9,0.1818916734033953,4939,99.8181083265966,48,0.9700889248181084,1,0.02021018593371059,4948,100.0,True,True,False,True,False,False
88614,39149.0,V,92851S10,N,4813.0,2000-09-12,2006-08-03,1481,1481,2152,5.891854893908282,0,0.0,0,0.0,0,62,4.186360567184335,62,4.186360567184335,1419,95.81363943281566,5,0.337609723160027,1,0.0675219446320054,1481,100.0,True,True,False,True,False,False
89393,43145.0,NFLX,64110L10,Q,7841.0,2002-05-23,2018-12-31,4181,4181,6067,16.61054072553046,0,0.0,0,0.0,0,0,0.0,0,0.0,4181,100.0,87,2.0808419038507537,1,0.02391772303276728,0,0.0,True,True,True,True,False,True
90319,45483.0,GOOG,38259P50,Q,7375.0,2004-08-19,2018-12-31,3617,3617,5248,14.368240930869268,0,0.0,0,0.0,0,0,0.0,0,0.0,3617,100.0,179,4.948852640309649,1,0.02764722145424385,0,0.0,True,True,True,True,False,True
91233,50700.0,MA,57636Q10,N,6153.0,2006-05-25,2018-12-31,3172,3172,4604,12.605065023956195,0,0.0,0,0.0,0,0,0.0,0,0.0,3172,100.0,14,0.4413619167717529,1,0.031525851197982346,3172,100.0,True,True,True,True,False,False
92611,52983.0,V,92826C83,N,7383.0,2008-03-19,2018-12-31,2716,2716,3940,10.787132101300479,0,0.0,0,0.0,0,0,0.0,0,0.0,2716,100.0,6,0.22091310751104565,1,0.036818851251840944,2716,100.0,True,True,True,True,False,False
92655,7267.0,UNH,91058110,N,6324.0,1993-01-04,2018-12-31,6547,6547,9493,25.99041752224504,0,0.0,0,0.0,2,160,2.4438674201924546,160,2.4438674201924546,6387,97.55613257980754,30,0.4582251412860852,0,0.0,6547,100.0,True,True,False,True,True,False
